Beat note mc10 Step 240.1,,,,,,,,,,,,,,,
Radius mm,Step Height nm,,,,,,,,,,,,,,
156,1518.22,,,,,,,,,,,,,,
5134.37,1521.105,,,,,,,,,,,,,,
10537.08,1518.983,,,,,,,,,,,,,,
16761.62,1527.584,,,,,,,,,,,,,,
22985.04,1538.139,,,,,,,,,,,,,,
30169.4,1559.349,,,,,,,,,,,,,Beat note mc10 Step 240.1,
35767,1588.095,,,,,,,,,,,,,Radius mm,Step Height nm
4976,1518.693,,,,,,,,,,,,,156,1518.22
9797,1528.24,,,,,,,,,,,,,5134.37,1521.105
14929.82,1538.163,,,,,,,,,,,,,10537.08,1518.983
20061,1557.983,,,,,,,,,,,,,16761.62,1527.584
29858,1579.731,,,,,,,,,,,,,22985.04,1538.139
35145.35,1623.269,,,,,,,,,,,,,30169.4,1559.349
24882.49,1557.983,,,,,,,,,,,,,35767,1588.095
,,,,,,,,,,,,,,4976,1518.693
Average,1548.25264285714,,,,,,,,,,,,,9797,1528.24
Standard Deviation,31.5246753624647,,,,,,,,,,,,,14929.82,1538.163
Coefficient variation,2.03614542548361,,,,,,,,,,,,,20061,1557.983
Uniformity: Difference between (center-edge/center) %,6.91922119323945,,,,,,,,,,,,,29858,1579.731
,,,,,,,,,,,,,,35145.35,1623.269
,,,,,,,,,,,,,,24882.49,1557.983
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Average,1548.25264285714
,,,,,,,,,,,,,,Standard Deviation,31.5246753624647
,,,,,,,,,,,,,,Coefficient variation,2.03614542548361
,,,,,,,,,,,,,,Uniformity: Difference between (center-edge/center) %,6.91922119323945
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Beat note MC10 Step 303.1,
,,,,,,,,,,,,,,Radius (mm),Step Height nm
Beat note MC10 Step 303.1,,,,,,,,,,,,,,22985.04,1560.498
Radius (mm),Step Height nm,,,,,,,,,,,,,30169.4,1574.526
22985.04,1560.498,,,,,,,,,,,,,35767,1595.051
30169.4,1574.526,,,,,,,,,,,,,14929.82,1563.152
35767,1595.051,,,,,,,,,,,,,20061,1568.48
14929.82,1563.152,,,,,,,,,,,,,29858,1634.921
20061,1568.48,,,,,,,,,,,,,35145.35,1648.023
29858,1634.921,,,,,,,,,,,,,24882.49,1598.141
35145.35,1648.023,,,,,,,,,,,,,,
24882.49,1598.141,,,,,,,,,,,,,Average,1592.849
,,,,,,,,,,,,,,Standard Deviation,33.1773524906029
Average,1592.849,,,,,,,,,,,,,Coefficient Variation ,2.08289376397906
Standard Deviation,33.1773524906029,,,,,,,,,,,,,Uniformity,5.07134295623788
Coefficient Variation ,2.08289376397906,,,,,,,,,,,,,,
Uniformity,5.07134295623788,,,,,,,,,,,,,gAPD MC01 step 42,
,,,,,,,,,,,,,,Radius mm,Step Height nm
,,,,,,,,,,,,,,5398.8540450729,4258
,,,,,,,,,,,,,,16502.8186986345,4262
,,,,,,,,,,,,,,23758.5167255871,4338
,,,,,,,,,,,,,,19139.1889065342,4234
,,,,,,,,,,,,,,31544.2205483033,4267
,,,,,,,,,,,,,,11482.4529173866,4256
,,,,,,,,,,,,,,20866.2393832717,4239
,,,,,,,,,,,,,,32624.3483459823,4289
,,,,,,,,,,,,,,28194.8632200974,4255
,,,,,,,,,,,,,,32490.0031702061,4246
gAPD MC01 step 42,,,,,,,,,,,,,,28604.4816243889,4339
Radius mm,Step Height nm,,,,,,,,,,,,,18871.6994995151,4370
5398.8540450729,4258,,,,,,,,,,,,,23357.6690617878,4327
16502.8186986345,4262,,,,,,,,,,,,,33754.6473541052,4261
23758.5167255871,4338,,,,,,,,,,,,,30054.0579622786,4300
19139.1889065342,4234,,,,,,,,,,,,,22255.3972779638,4310
31544.2205483033,4267,,,,,,,,,,,,,14123.00821355,4260
11482.4529173866,4256,,,,,,,,,,,,,24445.3351173593,4256
20866.2393832717,4239,,,,,,,,,,,,,25506.3261956715,4236
32624.3483459823,4289,,,,,,,,,,,,,34007.2051189156,4388
28194.8632200974,4255,,,,,,,,,,,,,,
32490.0031702061,4246,,,,,,,,,,,,,Average,4284.55
28604.4816243889,4339,,,,,,,,,,,,,Standard Deviation,45.9913893542785
18871.6994995151,4370,,,,,,,,,,,,,Coefficient variation,1.07342403179514
23357.6690617878,4327,,,,,,,,,,,,,Uniformity,3.05307656176609
33754.6473541052,4261,,,,,,,,,,,,,,
30054.0579622786,4300,,,,,,,,,,,,,,
22255.3972779638,4310,,,,,,,,,,,,,,
14123.00821355,4260,,,,,,,,,,,,,,
24445.3351173593,4256,,,,,,,,,,,,,,
25506.3261956715,4236,,,,,,,,,,,,,,
34007.2051189156,4388,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Average,4284.55,,,,,,,,,,,,,,
Standard Deviation,45.9913893542785,,,,,,,,,,,,,,
Coefficient variation,1.07342403179514,,,,,,,,,,,,,,
Uniformity,3.05307656176609,,,,,,,,,,,,,,
